iter	Passed	Remaining
0	147	147254
1	153	76369
2	157	52191
3	159	39764
4	162	32342
5	165	27478
6	168	23895
7	171	21246
8	174	19197
9	176	17483
10	177	15957
11	179	14785
12	180	13733
13	182	12837
14	183	12042
15	186	11439
16	187	10832
17	188	10295
18	190	9824
19	192	9444
20	197	9191
21	199	8887
22	201	8571
23	206	8385
24	209	8180
25	210	7901
26	211	7633
27	213	7421
28	216	7253
29	219	7094
30	223	6983
31	225	6812
32	226	6643
33	229	6513
34	231	6382
35	233	6249
36	242	6306
37	245	6210
38	246	6072
39	247	5943
40	248	5820
41	251	5739
42	254	5668
43	257	5597
44	261	5545
45	263	5467
46	267	5428
47	271	5384
48	274	5318
49	278	5299
50	281	5237
51	282	5158
52	285	5109
53	290	5085
54	293	5048
55	296	4999
56	301	4990
57	306	4980
58	307	4904
59	308	4830
60	309	4759
61	313	4737
62	323	4811
63	329	4813
64	332	4776
65	335	4744
66	339	4725
67	341	4682
68	345	4665
69	349	4637
70	350	4587
71	352	4537
72	357	4534
73	362	4530
74	364	4498
75	365	4449
76	368	4415
77	370	4376
78	372	4345
79	376	4324
80	391	4445
81	395	4431
82	399	4409
83	400	4363
84	400	4316
85	402	4277
86	403	4231
87	406	4217
88	407	4175
89	411	4162
90	414	4139
91	417	4120
92	419	4094
93	422	4076
94	429	4094
95	432	4068
96	435	4051
97	436	4018
98	437	3985
99	439	3955
100	441	3931
101	442	3892
102	443	3858
103	444	3827
104	445	3799
105	447	3770
106	448	3747
107	451	3729
108	458	3743
109	461	3734
110	463	3714
111	465	3693
112	470	3692
113	472	3672
114	476	3665
115	477	3637
116	478	3609
117	482	3602
118	482	3575
119	483	3547
120	489	3553
121	490	3531
122	491	3501
123	495	3499
124	496	3477
125	498	3454
126	502	3452
127	503	3430
128	508	3432
129	509	3410
130	510	3388
131	516	3394
132	518	3379
133	520	3366
134	525	3364
135	536	3409
136	538	3390
137	539	3367
138	540	3348
139	543	3339
140	546	3327
141	549	3321
142	551	3302
143	552	3287
144	555	3276
145	556	3255
146	557	3236
147	559	3219
148	564	3221
149	572	3245
150	574	3231
151	575	3211
152	576	3191
153	577	3171
154	578	3152
155	581	3147
156	583	3132
157	588	3138
158	593	3137
159	594	3121
160	596	3110
161	600	3105
162	605	3111
163	608	3103
164	609	3086
165	612	3076
166	614	3067
167	615	3050
168	616	3033
169	621	3032
170	622	3017
171	627	3020
172	630	3012
173	632	3004
174	634	2990
175	639	2993
176	641	2984
177	645	2979
178	649	2979
179	651	2967
180	653	2955
181	655	2947
182	657	2935
183	660	2928
184	662	2919
185	664	2906
186	669	2910
187	673	2908
188	675	2896
189	688	2933
190	691	2927
191	692	2913
192	693	2900
193	694	2885
194	695	2872
195	697	2861
196	698	2847
197	699	2834
198	700	2820
199	701	2806
200	703	2798
201	705	2786
202	706	2773
203	707	2760
204	708	2747
205	710	2738
206	712	2729
207	713	2718
208	715	2706
209	715	2693
210	717	2681
211	717	2668
212	718	2655
213	719	2643
214	720	2631
215	721	2619
216	723	2609
217	724	2600
218	726	2591
219	727	2579
220	728	2568
221	729	2557
222	730	2545
223	731	2535
224	733	2524
225	733	2513
226	734	2501
227	736	2493
228	737	2482
229	738	2472
230	740	2464
231	742	2457
232	744	2451
233	745	2440
234	746	2430
235	747	2419
236	748	2409
237	749	2399
238	750	2388
239	751	2378
240	752	2369
241	753	2360
242	754	2350
243	755	2341
244	756	2332
245	757	2322
246	758	2313
247	759	2303
248	760	2294
249	762	2287
250	763	2278
251	764	2269
252	765	2261
253	766	2252
254	772	2256
255	773	2248
256	775	2242
257	776	2234
258	778	2227
259	779	2219
260	780	2210
261	782	2203
262	783	2195
263	784	2186
264	786	2181
265	787	2172
266	789	2167
267	797	2177
268	799	2172
269	804	2174
270	806	2168
271	807	2161
272	808	2153
273	809	2144
274	810	2137
275	812	2130
276	813	2123
277	814	2115
278	815	2108
279	817	2100
280	817	2092
281	818	2084
282	820	2077
283	821	2070
284	822	2064
285	823	2057
286	824	2049
287	826	2042
288	829	2040
289	830	2032
290	831	2026
291	833	2021
292	834	2014
293	837	2010
294	837	2002
295	839	1995
296	839	1988
297	841	1981
298	842	1976
299	843	1969
300	845	1962
301	845	1955
302	847	1948
303	848	1942
304	849	1935
305	850	1928
306	851	1922
307	853	1916
308	855	1912
309	856	1905
310	857	1900
311	860	1897
312	862	1892
313	863	1886
314	864	1879
315	866	1874
316	867	1869
317	868	1863
318	869	1856
319	871	1851
320	874	1849
321	875	1842
322	876	1836
323	877	1830
324	878	1824
325	879	1818
326	880	1812
327	882	1808
328	883	1802
329	884	1796
330	886	1791
331	887	1785
332	888	1778
333	889	1772
334	890	1767
335	891	1761
336	892	1755
337	893	1749
338	894	1744
339	895	1738
340	897	1734
341	899	1730
342	902	1728
343	903	1723
344	904	1717
345	905	1711
346	906	1705
347	907	1699
348	908	1694
349	910	1690
350	911	1684
351	911	1678
352	913	1673
353	914	1668
354	915	1664
355	917	1659
356	918	1653
357	919	1648
358	920	1644
359	922	1639
360	924	1636
361	925	1631
362	926	1626
363	927	1621
364	928	1615
365	931	1613
366	932	1608
367	933	1602
368	934	1597
369	935	1592
370	936	1587
371	937	1583
372	938	1577
373	939	1572
374	941	1568
375	942	1563
376	943	1559
377	944	1554
378	945	1549
379	946	1544
380	947	1539
381	949	1535
382	950	1531
383	951	1526
384	952	1521
385	953	1516
386	954	1511
387	955	1507
388	957	1504
389	959	1500
390	963	1500
391	964	1495
392	965	1491
393	967	1487
394	967	1482
395	969	1479
396	973	1478
397	975	1476
398	978	1473
399	979	1468
400	980	1463
401	982	1461
402	983	1457
403	984	1452
404	985	1447
405	986	1443
406	988	1439
407	989	1435
408	990	1430
409	991	1426
410	992	1422
411	994	1419
412	996	1415
413	997	1411
414	997	1406
415	999	1402
416	1000	1399
417	1001	1394
418	1002	1390
419	1003	1385
420	1004	1381
421	1005	1377
422	1006	1372
423	1007	1369
424	1008	1364
425	1010	1361
426	1011	1356
427	1012	1352
428	1012	1348
429	1015	1345
430	1016	1341
431	1017	1337
432	1018	1334
433	1020	1331
434	1021	1327
435	1022	1322
436	1025	1321
437	1029	1320
438	1030	1316
439	1034	1316
440	1035	1312
441	1037	1309
442	1038	1305
443	1039	1301
444	1044	1302
445	1045	1298
446	1048	1297
447	1050	1294
448	1051	1290
449	1053	1288
450	1055	1284
451	1057	1281
452	1061	1281
453	1063	1278
454	1067	1278
455	1068	1274
456	1069	1270
457	1070	1267
458	1073	1265
459	1074	1261
460	1075	1257
461	1077	1254
462	1080	1252
463	1081	1249
464	1082	1245
465	1085	1244
466	1088	1242
467	1090	1239
468	1092	1237
469	1094	1233
470	1095	1230
471	1096	1226
472	1097	1222
473	1100	1221
474	1102	1218
475	1106	1217
476	1107	1214
477	1108	1210
478	1111	1209
479	1113	1205
480	1114	1202
481	1115	1198
482	1117	1196
483	1120	1194
484	1122	1191
485	1125	1190
486	1128	1188
487	1131	1187
488	1132	1183
489	1135	1181
490	1136	1178
491	1138	1175
492	1139	1171
493	1140	1168
494	1141	1164
495	1142	1160
496	1143	1156
497	1144	1153
498	1145	1149
499	1150	1150
500	1156	1151
501	1157	1148
502	1159	1145
503	1160	1141
504	1163	1140
505	1163	1136
506	1165	1132
507	1166	1129
508	1169	1128
509	1173	1127
510	1177	1126
511	1178	1123
512	1182	1122
513	1187	1122
514	1190	1120
515	1194	1120
516	1196	1118
517	1200	1116
518	1201	1113
519	1202	1110
520	1204	1107
521	1204	1103
522	1207	1101
523	1208	1098
524	1209	1094
525	1213	1093
526	1214	1089
527	1218	1089
528	1219	1085
529	1220	1082
530	1221	1079
531	1222	1075
532	1225	1073
533	1226	1070
534	1227	1067
535	1229	1063
536	1231	1062
537	1234	1060
538	1236	1057
539	1238	1055
540	1240	1052
541	1241	1048
542	1242	1045
543	1244	1042
544	1246	1040
545	1247	1037
546	1248	1034
547	1250	1031
548	1251	1028
549	1253	1025
550	1254	1021
551	1257	1020
552	1258	1017
553	1260	1014
554	1261	1011
555	1263	1008
556	1264	1006
557	1265	1002
558	1266	999
559	1268	996
560	1270	994
561	1271	991
562	1272	987
563	1275	986
564	1277	983
565	1278	980
566	1279	977
567	1280	974
