iter	Passed	Remaining
0	1	1168
1	5	2770
2	8	2663
3	13	3265
4	15	2986
5	18	3138
6	21	2981
7	25	3120
8	27	3007
9	28	2801
10	38	3427
11	39	3257
12	40	3108
13	45	3202
14	48	3173
15	54	3329
16	57	3312
17	58	3191
18	59	3096
19	63	3097
20	64	2999
21	66	2950
22	67	2867
23	71	2913
24	73	2868
25	76	2865
26	77	2794
27	78	2731
28	79	2666
29	80	2609
30	82	2592
31	83	2540
32	85	2501
33	86	2460
34	87	2415
35	89	2385
36	90	2343
37	90	2303
38	92	2269
39	93	2239
40	95	2233
41	96	2204
42	98	2197
43	102	2237
44	106	2249
45	108	2252
46	109	2225
47	116	2304
48	117	2277
49	118	2246
50	121	2252
51	122	2226
52	128	2295
53	129	2274
54	137	2354
55	142	2410
56	148	2460
57	150	2445
58	152	2430
59	155	2435
60	156	2408
61	157	2384
62	160	2394
63	162	2375
64	164	2364
65	168	2381
66	169	2358
67	172	2364
68	173	2344
69	175	2327
70	177	2326
71	178	2305
72	179	2283
73	181	2275
74	186	2295
75	188	2286
76	191	2292
77	193	2288
78	194	2271
79	197	2268
80	198	2252
81	199	2235
82	200	2210
83	201	2192
84	203	2192
85	205	2179
86	206	2164
87	207	2149
88	208	2135
89	210	2129
90	211	2114
91	213	2104
92	214	2089
93	216	2087
94	217	2074
95	218	2060
96	220	2049
97	221	2035
98	223	2036
99	225	2030
100	226	2016
101	227	2003
102	231	2014
103	232	2005
104	235	2010
105	238	2011
106	241	2018
107	243	2007
108	244	1994
109	244	1982
110	247	1984
111	248	1974
112	250	1962
113	251	1954
114	252	1942
115	255	1943
116	255	1930
117	257	1923
118	258	1914
119	261	1914
120	262	1904
121	262	1892
122	264	1883
123	265	1874
124	267	1873
125	268	1865
126	269	1855
127	271	1851
128	274	1854
129	276	1847
130	278	1847
131	281	1849
132	282	1840
133	283	1830
134	284	1821
135	286	1821
136	287	1812
137	288	1804
138	289	1795
139	291	1791
140	294	1792
141	294	1781
142	297	1780
143	300	1783
144	301	1776
145	302	1769
146	303	1761
147	304	1754
148	306	1751
149	307	1744
150	309	1737
151	310	1730
152	312	1730
153	313	1723
154	314	1716
155	316	1709
156	317	1702
157	319	1701
158	320	1696
159	321	1690
160	322	1680
161	323	1673
162	325	1673
163	327	1668
164	328	1661
165	329	1653
166	334	1669
167	340	1684
168	341	1677
169	342	1671
170	345	1677
171	349	1682
172	353	1687
173	354	1683
174	356	1678
175	358	1680
176	361	1680
177	365	1688
178	366	1682
179	368	1676
180	369	1669
181	371	1670
182	372	1664
183	373	1658
184	375	1652
185	376	1646
186	378	1646
187	379	1640
188	381	1635
189	382	1628
190	383	1625
191	384	1619
192	385	1613
193	391	1626
194	402	1661
195	403	1656
196	406	1654
197	410	1664
198	413	1665
199	419	1676
200	425	1689
201	431	1703
202	433	1703
203	436	1701
204	438	1701
205	440	1697
206	442	1694
207	443	1688
208	444	1681
209	445	1675
210	447	1671
211	449	1672
212	450	1665
213	452	1660
214	454	1660
215	455	1654
216	456	1648
217	458	1643
218	459	1638
219	461	1634
220	461	1628
221	462	1622
222	464	1617
223	465	1612
224	466	1608
225	468	1604
226	469	1599
227	470	1594
228	473	1595
229	474	1589
230	475	1583
231	476	1578
232	479	1578
233	480	1572
234	481	1567
235	482	1562
236	483	1556
237	485	1555
238	486	1549
239	488	1545
240	489	1541
241	491	1539
242	492	1534
243	493	1529
244	494	1524
245	495	1519
246	498	1519
247	499	1515
248	500	1510
249	501	1505
250	503	1501
251	504	1498
252	505	1493
253	506	1488
254	508	1485
255	509	1481
256	512	1480
257	512	1475
258	513	1470
259	514	1465
260	515	1460
261	518	1460
262	519	1456
263	521	1452
264	525	1456
265	528	1459
266	531	1459
267	533	1457
268	534	1452
269	539	1457
270	540	1454
271	541	1450
272	543	1448
273	545	1444
274	546	1440
275	547	1436
276	548	1432
277	550	1430
278	552	1426
279	553	1422
280	553	1417
281	554	1412
282	557	1412
283	558	1408
284	559	1403
285	560	1399
286	562	1398
287	564	1394
288	565	1390
289	566	1386
290	567	1383
291	570	1382
292	571	1378
293	572	1374
294	573	1369
295	574	1365
296	576	1364
297	577	1361
298	579	1357
299	580	1353
300	581	1349
301	583	1348
302	584	1344
303	585	1339
304	586	1335
305	590	1339
306	591	1336
307	592	1332
308	594	1328
309	598	1332
310	603	1336
311	604	1333
312	608	1335
313	610	1334
314	612	1331
315	613	1328
316	617	1329
317	618	1326
318	621	1327
319	623	1324
320	624	1320
321	625	1316
322	626	1313
323	631	1317
324	635	1320
325	638	1319
326	639	1317
327	641	1313
328	642	1310
329	643	1306
330	644	1302
331	645	1299
332	647	1296
333	649	1294
334	650	1291
335	655	1294
336	656	1291
337	660	1293
338	661	1290
339	666	1293
340	669	1293
341	672	1294
342	674	1292
343	679	1295
344	681	1294
345	684	1294
346	687	1292
347	688	1289
348	689	1286
349	692	1285
350	693	1281
351	694	1277
352	695	1274
353	696	1271
354	698	1269
355	699	1265
356	700	1262
357	701	1258
358	702	1255
359	705	1253
360	706	1250
361	707	1247
362	708	1243
363	710	1241
364	712	1238
365	713	1235
366	713	1231
367	714	1227
368	717	1226
369	718	1223
370	719	1220
371	721	1218
372	722	1214
373	724	1212
374	725	1209
375	726	1206
376	727	1202
377	730	1202
378	732	1200
379	733	1197
380	738	1200
381	743	1203
382	751	1211
383	753	1208
384	757	1210
385	763	1214
386	773	1225
387	774	1221
388	775	1218
389	780	1220
390	785	1222
391	786	1219
392	788	1217
393	789	1213
394	793	1214
395	794	1211
396	796	1209
397	800	1211
398	801	1207
399	805	1207
400	806	1204
401	808	1202
402	812	1202
403	813	1199
404	814	1196
405	815	1193
406	819	1193
407	821	1191
408	824	1191
409	825	1187
410	827	1185
411	829	1184
412	832	1182
413	833	1179
414	834	1176
415	840	1179
416	845	1182
417	851	1186
418	852	1182
419	854	1180
420	858	1180
421	859	1177
422	863	1178
423	865	1176
424	867	1173
425	870	1173
426	871	1170
427	873	1166
428	876	1167
429	878	1165
430	880	1161
431	883	1162
432	884	1158
433	885	1155
434	889	1155
435	890	1152
436	893	1150
437	898	1153
438	902	1153
439	903	1149
440	904	1146
441	906	1143
442	909	1143
443	910	1140
444	911	1137
445	912	1134
446	919	1137
447	922	1136
448	923	1133
449	924	1130
450	929	1130
451	930	1127
452	931	1124
453	932	1121
454	935	1120
455	936	1117
456	937	1114
457	943	1116
458	946	1115
459	950	1115
460	951	1113
461	955	1112
